Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question,ollama/openchat,ollama/llama3,ollama/mistral,ollama/phi3:mini,ollama/gemma:2b
annotations/01/1213.eng,"a courtyard of a white , two-storey building with a lot of brownish red wood ( doors , timber and balcony ) and red rooftiles a swimming pool with a blue and white sunshade next to it",Is the red thing above the balcony?,YN,Yes,"Yes, No",,TRUE,no,no,no,no,"**step 1: read the context and question**

the context describes a courtyard of a white building with a lot of brownish red wood (doors, timber and balcony) and red rooftiles. the question asks if the red thing above the balcony is present.

**step 2: identify the key objects and their attributes**

* white building: this is the main object in the courtyard.
* brownish red wood: this is a type of wood that is commonly used in doors, timber, and balcony construction.
* red rooftiles: these are tiles that cover the roof of the building.

**step 3: identify the spatial relationships between the entities**

* the red thing is located above the balcony.
* the balcony is located on the second floor of the building.

**step 4: answer the question**

yes, the red thing is above the balcony."
annotations/01/1411.eng,an illuminated multi-storey building with a large entrance at one corner,Is the building in front of the entrance?,YN,No,"Yes, No",,TRUE,no,no,no,no,"**step 1: read the context and question**

the context describes an illuminated multi-storey building with a large entrance at one corner. the question asks if the building is in front of the entrance.

**step 2: identify the key objects and their attributes**

* building: the building is the key object.
* entrance: the entrance is a key object that is part of the building.

**step 3: identify the spatial relationships between the entities**

* the entrance is located at one corner of the building.
* the building is illuminated.

**step 4: answer the question**

yes, the building is in front of the entrance."
annotations/01/1401.eng,"children in a swimming pool in a garden that is surrounded by a green wall there are two canvas chairs , white tables and chairs , a clothesline and a sunshade in the shade behind the pool there is also the corner of a green house on the left there are trees in the background",Is the pool contain the green thing?,YN,No,"Yes, No",,TRUE,no,no,no,no,"**yes**

**key objects and attributes:**

* green wall: shape, color, material
* canvas chairs: color, material, size
* white tables: color, material, size
* chairs: color, material, size
* clothesline: material, color
* sunshade: shape, color, material

**spatial relationships:**

* the pool is surrounded by a green wall.
* the green wall is located behind the pool.
* the pool is located in the garden.

**conclusion:**

the pool contains the green thing, which is the green wall."
images/00/935.jpg,"a dark-skinned , dark-haired boy wearing a black and grey NY cap , a black and grey chequered shirt and a red and green jacket that is black on the inside . grey wall of a house on the right , reddish house with some wood on the left in the background .",Is the wood behind the Wall?,YN,Yes,"Yes, No",1,TRUE,yes,no,no,no,"**step 1: read the context and question**

the context describes a dark-skinned, dark-haired boy wearing a black and grey ny cap, a black and grey chequered shirt, and a red and green jacket. the boy is standing in front of a house with a dark-colored wall on the right and a reddish house with some wood on the left in the background.

**step 2: identify the key objects and their attributes**

* boy: dark-skinned, dark-haired
* cap: black and grey
* shirt: black and grey
* jacket: red and green
* wall: dark-colored
* houses: reddish, with wood

**step 3: identify the spatial relationships between the entities**

* the boy is standing in front of the house.
* the wall is behind the house.
* the house has a reddish wall and some wood.

**step 4: answer the question**

yes, the wood behind the wall is present."
annotations/01/1389.eng,"a bald room with white walls , two bunk beds made of wood with white bedcovers , towels and pillows ( white and orange )",Is a bed above another bed?,YN,Yes,"Yes, No",1,TRUE,yes,no,yes,yes,"**step 1: read the context and question**

the context describes a room with white walls and two bunk beds made of wood. the room also contains towels and pillows, which are all white or orange.

**step 2: identify the key objects and their attributes**

* **objects:** two bunk beds
* **attributes:** wood, white bedcovers, towels, pillows

**step 3: identify the spatial relationships between the entities**

* the beds are placed side by side, suggesting they are arranged in a parallel fashion.

**step 4: answer the question**

yes, the bed is above the other bed."
annotations/01/1384.eng,"a slightly underexposed , white bungalow with a high palm tree in front of it and with trees to the left and right",Are there trees behind the white thing?,YN,No,"Yes, No",2,FALSE,no,no,no,no,"**step 1: read the context and question**

the context describes a slightly underexposed, white bungalow with a high palm tree in front of it and with trees to the left and right. the question asks if there are trees behind the white thing.

**step 2: identify the key objects and their attributes**

* white bungalow
* palm tree
* trees to the left and right

**step 3: identify the spatial relationships between the entities**

* the white bungalow is directly in front of the palm tree.
* the palm tree is located in front of the bungalow.
* the trees to the left and right are located to the left and right of the bungalow, respectively.

**step 4: answer the question**

yes, there are trees behind the white thing."
images/00/723.jpg,"tourists are standing in front of the blackboard in a classroom , all the kids are sitting at their desks . there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .",Is the blackboard under the clock?,YN,Yes,"Yes, No",,TRUE,yes,no,yes,no,"**yes**

the blackboard is directly under the clock. it is positioned below the clock and is clearly visible from the location of the clock."
images/01/1316.jpg,A room with light grey and yellow walls and a king-sized bed made of wood with green bed cover . A room with light grey and yellow walls and a king-sized bed made of wood with green bed cover. There is a night table with a bedside lamp on the left . A room with light grey and yellow walls and a king-sized bed made of wood with green bed cover. There is a night table with a bedside lamp on the left. And there is a painting on the wall.,Are the bedcovers inside the room?,YN,Yes,"Yes, No",,TRUE,yes,yes,yes,yes,"yes, the bedcovers are inside the room.

the context describes a room with furniture and a painting, and the question specifically asks about the bedcovers."
images/00/779.jpg,"a dark-skinned , dark-haired boy wearing a blue tee-shirt ( one sleeve green , the other one pink ) is standing in a classroom . a teacher and other kids in the background , and aB26:E140lso a large window ( thus the picture is not very well exposed ) .",Is the blue shirt behind the window?,YN,No,"Yes, No",,TRUE,no,no,no,no,"**yes**

the blue shirt is clearly visible behind the window in the picture."
images/00/961.jpg,"a dark-skinned boy wearing a white cap , a green pullover and a red vest .",Are the red thing and green thing touching?,YN,Yes,"Yes, No",1,TRUE,no,yes,yes,no,"**step 1: read the context and question**

the context describes a dark-skinned boy wearing a white cap, a green pullover, and a red vest. the question is asking if the red thing and green thing are touching.

**step 2: identify the key objects and their attributes**

* dark-skinned boy: this is the main object.
* white cap: this is a part of the boy's attire.
* green pullover: this is a part of the boy's attire.
* red vest: this is a part of the boy's attire.

**step 3: identify the spatial relationships between the entities**

* the red thing and green thing are both parts of the same person's attire.

**step 4: answer the question**

yes, the red thing and green thing are touching."
annotations/00/827.eng,"a dark-skinned , dark-haired girl in a black blouse is standing in a classroom in front of a wooden wall",Is the black thing behind the wall?,YN,No,"Yes, No",2,FALSE,no,no,no,no,"**yes**

**key objects:**

* dark-skinned, dark-haired girl
* wooden wall

**spatial relationships:**

* the black thing is behind the wall.

**conclusion:**

the answer is yes."
annotations/00/804.eng,"a dark-skinned , dark-haired girl in a coloured shirt is standing in front of a blue wall",Is the girl touching the shirt?,YN,Yes,"Yes, No",1,TRUE,no,no,yes,no,"**yes**

**key objects:**

* girl: dark-skinned, dark-haired
* shirt: coloured

**spatial relationships:**

* the girl is standing in front of the shirt.

**conclusion:**

the girl is touching the shirt."
